seed,r
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,-0.5
9,0.5
9,0
9,0
9,0
9,0
9,-0.5
9,0.5
9,-0.5
9,0.5
9,0
9,0
9,0
9,0
9,0
9,-0.5
9,0.5
9,-0.5
9,0
9,0.5
9,-0.5
9,0
9,0.5
9,-0.5
9,0.5
9,-0.5
9,0
9,0.5
9,0
9,0
9,-0.5
9,0.5
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,-0.5
9,0
9,0
9,0.5
9,0
9,0
9,0
9,0
9,0
9,0
9,-0.5
9,0.5
9,-0.5
9,0.5
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,-0.5
9,0.5
9,0
9,0
9,0
9,-0.5
9,0.5
9,0.5
9,0
9,0
9,0
9,0.5
9,-0.5
9,0.5
9,0
9,0
9,0
9,0
9,0
9,-0.5
9,0
9,0
9,0.5
9,0
9,0
9,0
9,0
9,0
9,-0.5
9,0.5
9,0
9,0
9,0
9,0
9,0
9,-0.5
9,0.5
9,0
9,-0.5
9,0.5
9,0
9,-0.5
9,0.5
9,0
9,-0.5
9,0.5
9,0
9,-0.5
9,0.5
9,0
9,-0.5
9,0
9,0
9,0
9,0.5
10,0.5
10,0
10,0.5
10,0
10,0
10,0
10,0
10,0.5
10,0
10,0
10,0
10,-2
10,0
10,-1
10,1
10,1
10,-0.5
10,0
10,-0.5
10,0
10,0.5
10,0
10,0
10,0
10,0.5
10,0.5
10,0
10,0
10,0
10,0
10,1
10,0
10,0.5
10,0
10,0.5
10,0.5
10,0.5
10,-0.5
10,0
10,-0.5
10,0.5
10,1.5
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,-0.5
10,0
10,0
10,0
10,0
10,0.5
10,-0.5
10,0
10,0
10,0.5
10,-0.5
10,0.5
10,-0.5
10,0.5
10,-0.5
10,0.5
10,0
10,-0.5
10,0
10,0
10,0
10,0
10,0
10,0
10,0.5
10,0
10,0
10,0
10,0
10,0
10,0
10,-0.5
10,0.5
10,-0.5
10,0
10,0
10,0
10,0.5
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,-0.5
10,0
10,0
10,0.5
10,0
10,-0.5
10,0.5
10,0
10,0
10,0
10,-0.5
10,0.5
10,-0.5
10,0
10,0.5
10,1
10,-0.5
10,0
10,0
10,0.5
10,-0.5
10,0
10,0
10,0
10,0.5
10,0
10,0
10,0
10,0
10,-0.5
10,0
10,0
10,0.5
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,-0.5
10,0.5
10,0
10,-0.5
10,0.5
10,0
10,0
10,0
10,-0.5
10,0.5
10,-0.5
10,0
10,0
10,0
10,0.5
10,0
10,-0.5
10,0.5
10,-0.5
10,0.5
10,-0.5
10,0.5
10,-0.5
10,0.5
10,-0.5
10,0.5
10,-0.5
10,0
10,0
10,0.5
10,0
10,0
10,0
10,0
10,-0.5
10,0.5
10,0
10,-0.5
10,0.5
10,-0.5
10,0.5
10,0
10,0
10,0
10,-0.5
10,0
10,0.5
10,0
10,-0.5
10,0.5
10,0
10,0
10,-0.5
10,0.5
10,-0.5
10,0.5
10,0
10,0
10,0
10,-0.5
10,0.5
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,-0.5
10,-0.5
10,0
10,-0.5
10,0
10,0
10,1
10,0
10,0.5
10,-1.5
10,1
10,-1
10,1
10,0.5
10,-0.5
10,0.5
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,-0.5
10,0.5
10,0
10,0
10,-0.5
11,0.5
11,-1.5
11,0
11,-1
11,0.5
11,0
11,0
11,0
11,0
11,0.5
11,0.5
11,0
11,-1
11,-1
11,-0.5
11,0
11,-0.5
11,0
11,-0.5
11,0
11,0
11,0
11,0.5
11,0.5
11,0.5
11,-1.5
11,0.5
11,0.5
